"","id","username","location","userop","quote","rating","date","reviewnospace","page","titleopinion","NumWords","NumSentences","AfinnScale","SyuzhetScale","BingScale","CoreNLPScale","AfinnSentiment","SyuzhetSentiment","BingSentiment","CoreNLPSentiment"
"11","rn387284869","Zoe S","Birmingham, United Kingdom","164 reviews","Breathtaking ",5,"29/06/2016","We visited yesterday afternoon about 3pm. It has been something I have been looking forward to seeing since we planned to come to Córdoba.The photos really do not do this place any justice - it is simply breathtaking - the immense size of the place is awe inspiring. The way the cathedral fits so intricately in to the original mosque.The design is stunning and the mix of the two styles of architecture is beautiful. It is perfect to photograph.A visit to Córdoba would not be complete without a visit to the mosque-cathedral",90,"Breathtaking . We visited yesterday afternoon about 3pm. It has been something I have been looking forward to seeing since we planned to come to Córdoba.The photos really do not do this place any justice - it is simply breathtaking - the immense size of the place is awe inspiring. The way the cathedral fits so intricately in to the original mosque.The design is stunning and the mix of the two styles of architecture is beautiful. It is perfect to photograph.A visit to Córdoba would not be complete without a visit to the mosque-cathedral",92,5,0.714285714285714,0.928571428571429,0.714285714285714,0.8125,"positive","positive","positive","positive"
"12","rn387106085","Ian F","Leighton Buzzard, United Kingdom","9 reviews","Mesquita",5,"28/06/2016","An interesting and historic site which is , probably , the main reason for people to visit Cordoba. It did not appear to be vedry busy at midday but perhaps we were out of the holiday season. Hotels provide details as to opening times",90,"Mesquita. An interesting and historic site which is , probably , the main reason for people to visit Cordoba. It did not appear to be vedry busy at midday but perhaps we were out of the holiday season. Hotels provide details as to opening times",44,1,0.666666666666667,1,0.666666666666667,0.583333333333333,"positive","positive","positive","neutral"
"13","rn386977875","SanderlingNottingham","nottingham","69 reviews","Wonderful experience",5,"28/06/2016","Well worth a visit when you are in Cordoba - would recommend a visit to everyone. Enjoy a moment of leisure time around the surrounding square.",90,"Wonderful experience. Well worth a visit when you are in Cordoba - would recommend a visit to everyone. Enjoy a moment of leisure time around the surrounding square.",26,1,1,1,1,0.625,"positive","positive","positive","positive"
"14","rn386880759","Leanne J","","254 reviews","Facinat",5,"28/06/2016","The original Mosque was built in 786 as the population grew over the centuries so did the Mosque it has had 4 extensions which are reflected in the interior . Spend the morning looking inside and outside of this fascinating building a must for photographers . It opens at 8.30am and that is the best time to go beat the heat and the crowd",90,"Facinat. The original Mosque was built in 786 as the population grew over the centuries so did the Mosque it has had 4 extensions which are reflected in the interior . Spend the morning looking inside and outside of this fascinating building a must for photographers . It opens at 8.30am and that is the best time to go beat the heat and the crowd",64,3,0.833333333333333,0.833333333333333,0.833333333333333,0.583333333333333,"positive","positive","positive","neutral"
"15","rn386619210","Y2CLL","London","160 reviews","Wonderful and majestic",5,"27/06/2016","Really beautiful and must see in Córdoba. The mix of Muslim and Christian influences is wonderful and the scale of the cathedral is quite something. Two areas to visit (paid) are the cathedral €8 and tower €2. Both well worth the money and budget about 2-3 hours. We ate Spanish tortilla at Bar Santos on the edge of the square. Authentic and in the guide book. The tower has timed tickets so buy the tickets for both at the same time (the booths are next to each other you can't buy both at the same ticket booth for some reason which was unexplained!) you can then walk in and out of the courtyard to make the most of your visit. Don't miss the Roman bridge on the river nearby.",90,"Wonderful and majestic. Really beautiful and must see in Córdoba. The mix of Muslim and Christian influences is wonderful and the scale of the cathedral is quite something. Two areas to visit (paid) are the cathedral €8 and tower €2. Both well worth the money and budget about 2-3 hours. We ate Spanish tortilla at Bar Santos on the edge of the square. Authentic and in the guide book. The tower has timed tickets so buy the tickets for both at the same time (the booths are next to each other you can't buy both at the same ticket booth for some reason which was unexplained!) you can then walk in and out of the courtyard to make the most of your visit. Don't miss the Roman bridge on the river nearby.",129,9,0.625,0.875,0.625,0.5,"positive","positive","positive","neutral"
"16","rn386560943","Mark J","","33 reviews","Number one attraction in Cordoba",5,"27/06/2016","Couldn't get there on our first day in the city, expect long lines in spring/summer. Totally worth the visit and the time waited in line.",90,"Number one attraction in Cordoba. Couldn't get there on our first day in the city, expect long lines in spring/summer. Totally worth the visit and the time waited in line.",25,2,0.75,1,0.75,0.5,"positive","positive","positive","neutral"
"17","rn386528529","NilsvK","Nuenen, The Netherlands","11 reviews","Breathtaking",5,"27/06/2016","Stunning experience of a mosque and a cathedral together. Never seen such a location. As far as you can see a landscape of pillars.",91,"Breathtaking. Stunning experience of a mosque and a cathedral together. Never seen such a location. As far as you can see a landscape of pillars.",24,2,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,"positive","positive","positive","positive"
"18","rn386502666","John S","","16 reviews","Beautiful building",5,"27/06/2016","Mezquite is a wonderful blend of history and religion from various parts of Spanish history. Beautiful Muslim architecture and Christian adaptation over time has created an amazing space. Well worth a visit if nothing else to get out of the heat of Córdoba! Inside is vast and some beautiful architecture.",91,"Beautiful building. Mezquite is a wonderful blend of history and religion from various parts of Spanish history. Beautiful Muslim architecture and Christian adaptation over time has created an amazing space. Well worth a visit if nothing else to get out of the heat of Córdoba! Inside is vast and some beautiful architecture.",50,6,1,1,1,0.875,"positive","positive","positive","positive"
"19","rn386490417","lucia k","Miami, Florida","41 reviews","Magnificent",5,"27/06/2016","I wish I had read more of this Mosque before arriving. I had no idea how beautiful it was and the whole history it keeps.",91,"Magnificent. I wish I had read more of this Mosque before arriving. I had no idea how beautiful it was and the whole history it keeps.",25,2,1,1,0.75,0.5,"positive","positive","positive","neutral"
"20","rn386489077","Instep","Plymouth, United Kingdom","153 reviews","Good but ....",4,"27/06/2016","This is clearly a must see experience for any visitor to Cordoba. The amalgamation of buildings for 2 religions is unique and well worth seeing. The pillars hall is breathtaking in scale.I am however not in agreement with some other reviews that suggest that this is better than the Alhambra in Granada. The Alhambra is considerably larger with superb outdoor and indoor space and exquisite carvings, stonework and mosaics on almost every wall. Here there has sadly been a great deal of wear and tear with little opportunity to see very much of the detailed original decor. It remains however a wonderful space so go see it and if you love it go and see big brother in Granada.",91,"Good but ..... This is clearly a must see experience for any visitor to Cordoba. The amalgamation of buildings for 2 religions is unique and well worth seeing. The pillars hall is breathtaking in scale.I am however not in agreement with some other reviews that suggest that this is better than the Alhambra in Granada. The Alhambra is considerably larger with superb outdoor and indoor space and exquisite carvings, stonework and mosaics on almost every wall. Here there has sadly been a great deal of wear and tear with little opportunity to see very much of the detailed original decor. It remains however a wonderful space so go see it and if you love it go and see big brother in Granada.",119,8,1,1,0.928571428571429,0.583333333333333,"positive","positive","positive","neutral"
"21","rn386371054","myalterego","N. Ireland","50 reviews","My favourite building in all Spain",5,"27/06/2016","La Mezquita is ,without a doubt, my favourite building in all of Spain. There is nowhere that I have found in Spain that is its equal in terms of history and its architecture and this from someone who has driven 1000s of Kms through the country from Santander to Cadiz and from Barcelona to Cabo Finisterre.",91,"My favourite building in all Spain. La Mezquita is ,without a doubt, my favourite building in all of Spain. There is nowhere that I have found in Spain that is its equal in terms of history and its architecture and this from someone who has driven 1000s of Kms through the country from Santander to Cadiz and from Barcelona to Cabo Finisterre.",56,2,0.25,0.5,0.25,0.25,"negative","neutral","negative","negative"
"22","rn386340549","Dimitar S","Kingston-upon-Hull, United Kingdom","25 reviews","magic",5,"27/06/2016","Probably the only place in the world, where a mosque and a cathedral have been combined. The result is an amazing monument, definitely worth seeing.",91,"magic. Probably the only place in the world, where a mosque and a cathedral have been combined. The result is an amazing monument, definitely worth seeing.",25,3,0.75,0.75,0.75,0.625,"positive","positive","positive","positive"
"23","rn386304060","Manuel O","","51 reviews","Artistic jewel with fresh water",4,"27/06/2016","It is an artistic jewel.We recommend to visit with a guided tour, to discover all secrets, and history.A vit of advice, there is a drinking fountain in Patio de los Naranjos, inside the monument, before the ticket office, where you are able to refill a bottle with fresh water for free. In that fountain ancient Califas have drunk too.",91,"Artistic jewel with fresh water. It is an artistic jewel.We recommend to visit with a guided tour, to discover all secrets, and history.A vit of advice, there is a drinking fountain in Patio de los Naranjos, inside the monument, before the ticket office, where you are able to refill a bottle with fresh water for free. In that fountain ancient Califas have drunk too.",59,2,0.75,0.75,0.625,0.5,"positive","positive","positive","neutral"
"24","rn386288112","Pernille W","Hudson, New York, United States","29 reviews","Must be one of the worlds 7 wonders. Extraordinary every time!",5,"27/06/2016","The Mosque/Cathedral of Cordoba is one of two architectural pearls that I keep going back to and that I can never tire of. The other is the Hagia Sofia in Istanbul. Literally one of my favourite places in the world! Such a visual stunner. Like the Hagia Sofia, this Mosque/cathedral has gone though history being reincarnated and reinvented as both mosque and Cathedral. It feels, although a large structure, quite intimate. My favourite is the striped orange/white pillars and vaulted ceilings of the mosque area. Memorable and just blows me away. And the city of Cordoba is so impressive in itself. Andalusia, with it's brilliant Moorish architecture can never manage to disappoint.",91,"Must be one of the worlds 7 wonders. Extraordinary every time!. The Mosque/Cathedral of Cordoba is one of two architectural pearls that I keep going back to and that I can never tire of. The other is the Hagia Sofia in Istanbul. Literally one of my favourite places in the world! Such a visual stunner. Like the Hagia Sofia, this Mosque/cathedral has gone though history being reincarnated and reinvented as both mosque and Cathedral. It feels, although a large structure, quite intimate. My favourite is the striped orange/white pillars and vaulted ceilings of the mosque area. Memorable and just blows me away. And the city of Cordoba is so impressive in itself. Andalusia, with it's brilliant Moorish architecture can never manage to disappoint.",112,10,0.65,0.8,0.7,0.4,"positive","positive","positive","negative"
"25","rn386209632","city_ambler","Blackburn","156 reviews","spectacular",5,"26/06/2016","well worth a visit, not too busy when we went with space to wander and to just sit and look. A truly spectacular building",91,"spectacular. well worth a visit, not too busy when we went with space to wander and to just sit and look. A truly spectacular building",24,2,0.75,1,1,0.75,"positive","positive","positive","positive"
"26","rn386112795","Bob C","New Zealand","42 reviews","Worth the visit but terrible audio guide.",4,"26/06/2016","We happened to be in Córdoba on the one Saturday that guided tours were not allowed (ordination of a bishop) so we went with the audio guide, which was easily the worst we have experienced during 3 and 1/2 weeks in Spain and Portugal. The mosque/cathedral is a ""must-see"" but do spring for a guide. We had real difficulty lining up our position with the commentary. Every other place we've visited and used an audio guide has had clearly numbered points where you stand and play the audio. Not here! We enjoyed the visual experience - just felt short-changed.",91,"Worth the visit but terrible audio guide.. We happened to be in Córdoba on the one Saturday that guided tours were not allowed (ordination of a bishop) so we went with the audio guide, which was easily the worst we have experienced during 3 and 1/2 weeks in Spain and Portugal. The mosque/cathedral is a ""must-see"" but do spring for a guide. We had real difficulty lining up our position with the commentary. Every other place we've visited and used an audio guide has had clearly numbered points where you stand and play the audio. Not here! We enjoyed the visual experience - just felt short-changed.",99,5,0.5,0.75,0.5,0.458333333333333,"neutral","positive","neutral","neutral"
"27","rn386104491","G L","Coventry, United Kingdom","50 reviews","Incredible architecture ",5,"26/06/2016","Incredible architecture even to the untrained eye. You can easily spend two hours just walking back and forth between the various sections, appreciating the similarities and differences",92,"Incredible architecture . Incredible architecture even to the untrained eye. You can easily spend two hours just walking back and forth between the various sections, appreciating the similarities and differences",27,1,0.75,0.5,0.75,0.375,"positive","neutral","positive","negative"
"28","rn386054939","Gale L","Bassoues, France","155 reviews","Outstanding",5,"26/06/2016","I wish I could have spent more time there. It is really worth reading up on this beautiful place before you step inside. There is only one entrance and one could walk round the whole place before you find it so get a city map to help you. The combination of moorish artefacts and Catholic Church are just stunning. An absolute must visit.",92,"Outstanding. I wish I could have spent more time there. It is really worth reading up on this beautiful place before you step inside. There is only one entrance and one could walk round the whole place before you find it so get a city map to help you. The combination of moorish artefacts and Catholic Church are just stunning. An absolute must visit.",63,5,0.9,0.9,0.7,0.45,"positive","positive","positive","neutral"
"29","rn385963328","nikebrisngr","Houston, Texas","63 reviews","Heaven on Earth",5,"25/06/2016","Mezquita is a quietly moving and a visually spectacular experience.The Mihrab, the cupola of the Mihrab and red and white arches give one the feeling of infinity and the feeling that one is walking on hallowed grounds of centuries old deep-rooted spirituality.As one walks towards the heart of the Mezquita, one discovers the immense sunlit cavern of Christiandomthe stunning altar and ceiling in the chapel,the intricacy of the woodwork in the organ and choir prayer desksthe wedding cakelike decorations around the windows, apse and transepts.The Better:Better to start early in the morning before the crowds. And if one can wait until around 4 pm, the afternoon sun bathes Cordoba and the Mezquita's double red and white arches glow radiantly with life.The Good: There is a bathroom nearby at the pizza restaurant/souvenir shop, across from the Mezquita between the ticket entrance and the Bell Tower. Happy Travels !",92,"Heaven on Earth. Mezquita is a quietly moving and a visually spectacular experience.The Mihrab, the cupola of the Mihrab and red and white arches give one the feeling of infinity and the feeling that one is walking on hallowed grounds of centuries old deep-rooted spirituality.As one walks towards the heart of the Mezquita, one discovers the immense sunlit cavern of Christiandomthe stunning altar and ceiling in the chapel,the intricacy of the woodwork in the organ and choir prayer desksthe wedding cakelike decorations around the windows, apse and transepts.The Better:Better to start early in the morning before the crowds. And if one can wait until around 4 pm, the afternoon sun bathes Cordoba and the Mezquita's double red and white arches glow radiantly with life.The Good: There is a bathroom nearby at the pizza restaurant/souvenir shop, across from the Mezquita between the ticket entrance and the Bell Tower. Happy Travels !",147,4,0.857142857142857,1,1,0.666666666666667,"positive","positive","positive","positive"
"30","rn385924864","joyceberry1122","New York City, New York","14 reviews","Cultural delight",5,"25/06/2016","A must-see in Córdoba! Beautiful architecture and evidence of ultimate Islamic and Western art. Warning: there are limited visiting hours so check first! Also, don't wait the ludicrously long line, BUY YOUR TICKETS AT THE MACHINE AND SAVE YOURSELF A LIFETIME.",92,"Cultural delight. A must-see in Córdoba! Beautiful architecture and evidence of ultimate Islamic and Western art. Warning: there are limited visiting hours so check first! Also, don't wait the ludicrously long line, BUY YOUR TICKETS AT THE MACHINE AND SAVE YOURSELF A LIFETIME.",41,5,0.625,0.375,0.375,0.5625,"positive","negative","negative","neutral"
"31","rn385829230","Ian_Wand","Plymouth, United Kingdom","110 reviews","Enjoyable visit",4,"25/06/2016","This has been on my must see list for a while. I was surprised at the size of the pillared area and the immediate access. There was little plasterwork / carvings remaining and I did not like the architectural changes to accommodate the cathedral. It looked wrong and felt wrong. The space, for me, does not work. A few years ago I did visit the Alhambra and was amazed at the beauty of the carvings and tiles. The mosque is definitely worth a visit but for me a bit disappointing. I am however glad I have seen it and do recommend a visit.",92,"Enjoyable visit. This has been on my must see list for a while. I was surprised at the size of the pillared area and the immediate access. There was little plasterwork / carvings remaining and I did not like the architectural changes to accommodate the cathedral. It looked wrong and felt wrong. The space, for me, does not work. A few years ago I did visit the Alhambra and was amazed at the beauty of the carvings and tiles. The mosque is definitely worth a visit but for me a bit disappointing. I am however glad I have seen it and do recommend a visit.",103,7,0.625,0.75,0.6875,0.40625,"positive","positive","positive","neutral"
"32","rn385688009","Martyn B","Melbourne, Australia","23 reviews","Beter than the Allhambra",5,"24/06/2016","Despite the preferences stated in other people's reviews, and perhaps a little strangely, the Mezquita was more enthralling for me than the Alhambra in Granada. The psychologically weird but visually effective combination of Christian and Muslim architectural archetypes worked their magic on my eyes. Spatially the Mezquita was also more dramatic than the Alhambra complex. After my visit, I was inspired to find out more about the complex history that resulted in this incredible structure.",92,"Beter than the Allhambra. Despite the preferences stated in other people's reviews, and perhaps a little strangely, the Mezquita was more enthralling for me than the Alhambra in Granada. The psychologically weird but visually effective combination of Christian and Muslim architectural archetypes worked their magic on my eyes. Spatially the Mezquita was also more dramatic than the Alhambra complex. After my visit, I was inspired to find out more about the complex history that resulted in this incredible structure.",75,3,0.5,0.75,0.375,0.4375,"neutral","positive","negative","neutral"
"33","rn385675245","Stephen L","London, United Kingdom","120 reviews","Must be seen",4,"24/06/2016","By far the highlight of our trip to Cordoba. Simply amazing inside and out. A must if you're in Cordoba",92,"Must be seen. By far the highlight of our trip to Cordoba. Simply amazing inside and out. A must if you're in Cordoba",20,1,0.833333333333333,0.833333333333333,0.666666666666667,0.583333333333333,"positive","positive","positive","neutral"
"34","rn385637007","Jane C","","28 reviews","Amazing!",5,"24/06/2016","This building is simply amazing and was one of my favourite things of my whole trip to Spain. It's scale was well beyond what I expected and the cathedral in the middle was totally dwarfed by the mosque structure.",92,"Amazing!. This building is simply amazing and was one of my favourite things of my whole trip to Spain. It's scale was well beyond what I expected and the cathedral in the middle was totally dwarfed by the mosque structure.",39,2,0.75,1,1,0.5,"positive","positive","positive","neutral"
"35","rn385475560","valerie954","Tavira, Portugal","16 reviews","fabulous place to visit",5,"24/06/2016","a must see, fascinating place, cool, lovely architecture, no restrictions on photography, however, as a mark of respect you are asked to remove head gear",92,"fabulous place to visit. a must see, fascinating place, cool, lovely architecture, no restrictions on photography, however, as a mark of respect you are asked to remove head gear",25,1,1,1,1,0.75,"positive","positive","positive","positive"
